code,name,company,category,price,information,quantity
TV-SM0001,Samsung CUE70,Samsung,Television,27990,"43"" Ultra 4k smart LED TV",3
TV-SM0002,Samsung QN700B,Samsung,Television,307490,"65"" Neo QLED, 8K Smart TV",5
TV-SM0003,Samsung AUE60,Samsung,Television,42990,"55"" Crystal 4K Ultra HD Smart TV",5
TV-OP0001,OnePlus Y1S Pro,OnePlus,Television,27490,"4K Ultra HD, Smarter connectivity, 24W Dolby Audio",4
TV-OP0002,OnePlus 43 Y1,OnePlus,Television,12990,"DCI-P3 93% Colour Gamut, 64-bit powerful processor, OxygenPlay",8
TV-OP0003,OnePlus 55Q1 Pro,OnePlus,Television,84990,"QLED 4K display, gamma color magic, Dolby vision and Dolby atmos, 51W 2.1CH Stereo system",5
TV-SO0001,Sony Bravia KD-55X74K,Sony,Television,57990,"55"" 4K Ultra HD, Smart LED Google TV, 24W Dolby Audio",7
TV-SO0002,Sony Bravia KD-65X74K,Sony,Television,139990,"65"" 4K Ultra HD, Smart LED Google TV, 20W Dolby Audio",8
TV-SO0003,Sony Bravia KD-32W820K,Sony,Television,24990,"32"" HD Ready Smart Google TV with Alexa Compatibilty",4
TV-RE0001,Redmi L65M6-RA,Redmi,Television,56990,"65"" 4K Ultra HD Smart Smart TV, Android TV - 10, 30W Dolby Atmos",1
TV-RE0002,Redmi L43R8-FVIN,Redmi,Television,21990,"43"" 4K Ultra HD Smart LED FireTV, 24W DTS Virtual Sound",8
TV-RE0003,Redmi L55M6-RA,Redmi,Television,32990,"55"" 4K Ultra HD, Android Smart LED TV, 178 degree viewing angle",4
TV-ON0001,Onida 55UIF1,Onida,Television,32990,"55"" 4K Ultra HD, Smart LED Fire TV, Mira cast display mirroring, 2 GHz Multicore processor",9
TV-ON0002,Onida 50UIF,Onida,Television,27990,"50"" 4K Ultra HD, Smart LED Fire TV, Mira cast display mirroring, 2GHz Multicore processor",0
TV-ON0003,Onida F1F3,Onida,Television,19990,"43"" Full HD, Smart LED Fire TV, Amlogic 11th gen Picture Engine, 2 GHz Multicore processor",4
RF-SM0001,Samsung Double Door Refrigerator,Samsung,Refrigerator,22990,"236L Digital Inverter Technology RT28C3032GS, Gray Silver",6
RF-SM0002,Samsung Twin Cooling Plus,Samsung,Refrigerator,35490,"301L Double Door Refrigerator RT34C4523B1, Matt Black",12
RF-SM0003,Samsung French Door BESPOKE,Samsung,Refrigerator,343300,"936L 4-Door Flex Refrigerator RF90A92W3AP, Glam White",7
RF-LG0001,LG InstaView Door-in-Door,LG,Refrigerator,175990,"Knock Twice, See Inside, 635 Ltr , Side-by-Side Refrigerator with Smart Inverter Compressor, DoorCooling+, Brushed Steel Finish",9
RF-LG0002,LG Convertible Side-by-Side ,LG,Refrigerator,110700,"650 Ltr, Refrigerator with Smart Inverter Compressor, Hygiene Fresh+, DoorCooling+, Smart Diagnosis, Matte Black Finish",10
RF-LG0003,LG Double Door Refrigerator,LG,Refrigerator,25490,"242 Ltr, 3 Star, Smart Inverter Compressor, DoorCooling+, Smart Diagnosis, Shiny Steel Finish, Frost-Free ",17
RF-PN0001,Panasonic Side by Side Refrigerator,Panasonic,Refrigerator,74990,"592 L Wifi Inverter Frost-Free (NR-BS62GKX1, Black, Premium Glass Finish)",1
RF-PN0002,Panasonic Econavi,Panasonic,Refrigerator,87990,"551L 6-Stage Inverter Frost-Free Multi-Door Refrigerator (NR-CY550GKXZ, Black Glass, Powered by Artificial Intelligence)",12
RF-PN0003,Panasonic Prime Refrigerator,Panasonic,Refrigerator,67320,450L 2 Star  Convertible 6-Stage Smart Inverter Frost-Free Double Door Bottom Mount Refrigerator (NR-BK465BQKN) Diamond Black,9
RF-HA0001,Haier Single Door Refrigerator,Haier,Refrigerator,10490,"165 L 1 Star Direct Cool (2023 Model, HED-171RS-P, Red Steel)",3
RF-HA0002,Haier Double Door Refrigerator,Haier,Refrigerator,34990,"325 L 3 Star Frost Free Inverter Double Door Bottom Mount Refrigerator Appliance (2023 Model, HEB-333DS-P, Dazzle Steel, Convertible)",4
RF-HA0003,Haier  Side by Side Refrigerator,Haier,Refrigerator,59990,"630L Frost Free Inverter Refrigerator (HES-690SS-P, Shiny Steel, Convertible)",7
RF-WP0001,Whirlpool Single Door Refrigerator ,Whirlpool,Refrigerator,11940,"184 L 2 Star Direct-Cool (205 WDE CLS 2S SAPPHIRE BLUE-Z, Blue,2023 Model)",8
RF-WP0002,Whirlpool Triple Door Refrigerator,Whirlpool,Refrigerator,25690,"240 L Frost Free (FP 263D Protton Roy, Alpha Steel)",3
RF-WP0003,Whirlpool Double Door Refrigerator ,Whirlpool,Refrigerator,21610,"265 L 2 Star Frost Free (NEO DF278 PRM ARCTIC STEEL -N, Grey)",5
LT-SM0001,Samsung Galaxy Book3,Samsung,Laptop,84790,"13th Gen, core i7 1355U - (16 GB/512 GB SSD/Windows 11 Home) Galaxy Book3 Thin and Light Laptop  (15.6 Inch, Silver, 1.58 Kg)",6
LT-SM0002,Samsung Galaxy Book2,Samsung,Laptop,59990," (NP750) Intel 12th Gen core i5 39.6cm (15.6"") FHD Thin & Light Laptop (8 GB/512 GB/Windows 11/MS Office/Backlit Keyboard/Finger Print",1
LT-SM0003,Samsung Galaxy Book Ion Laptop,Samsung,Laptop,142620,"15.6 inches QLED Display and Intel Core i7 Processor with Long Battery Life and Windows 10 Operating System, 8GB",8
LT-AS0001,ASUS TUF Gaming F15,Asus,Laptop,69990,"15.6""(39.62 cms) FHD 144Hz, Intel Core i7-11800H 11th Gen, 4GB NVIDIA GeForce RTX 3050 Ti, Gaming Laptop (16GB/ 512GB SSD/ Windows 11/ 90WHrs Battery/ Black/ 2.30 Kg)",2
